Product ID,Title,Price,Description,Image Sources
7282470092934,GReddy Evo 2.0,$125.00,The GReddy Black/Red Suede Lakai Evo 2.0 features:,
7271586103430,Cambridge,$85.00,"The Pacifico White Leather Cambridge with Gum sole consists of mixed materials including suede, mesh, and perforated synthetic leather, giving the shoe a modern look without forfeiting its vintage vibe. This mix of contemporary and classic keeps the shoe from being pigeonholed to a specific look, catching the eye of minimalist and tech skaters alike. The Cambridge has been paired with a PARA-MOUNT™ outsole, our most advanced vulcanized outsole to date, and finished with a DELUX-LITE™ footbed.",
7271585448070,Newport,$80.00,"The Pacifico Newport pulls inspiration from our first ever vulcanized style, the Howard Select. Designed to be simple but loaded with performance. Built with the same comfort and support as the Bristol. The upper has refined bold branding, breathable tongue, with a blend of durable suede and leather materials. Our new PARA-MOUNT™ outsole technology consists of dual density rubber that provides cushioning that challenges a cupsole. The Hex-tread pattern is designed for maximum board feel. Each Hex pod moves independently which gives 360 degrees of flexibility. The new premium foam DELUX-LITE™ sockliner is designed with a deep heel cup for stability and contoured arch for comfort.",
7271584825478,Flaco 2 Mid,$90.00,The Pacifico Flaco 2 Mid is an evolution of the low top which fits Stevie's style perfectly with it's classic and clean silhouette. The upper consist of co-bound suede in high-wear areas and bold branding. Our advanced PARA-MOUNT™ outsole technology utilizes dual density cushioning to absorb high impact. The Hex-tread design combines 360 degree flexibility for increased board feel and maximum grip. Reinforced in the arch area for added protection and support. The DELUX-LITE™ sockliner uses premium foam is designed with a deep contoured heel and arch for superior comfort.,
6562525511814,Cambridge,$80.00,"The Cambridge consists of mixed materials including suede, mesh, and perforated synthetic leather, giving the shoe a modern look without forfeiting its vintage vibe. This mix of contemporary and classic keeps the shoe from being pigeonholed to a specific look, catching the eye of minimalist and tech skaters alike. The Cambridge has been paired with a PARA-MOUNT™ outsole, our most advanced vulcanized outsole to date, and finished with a DELUX-LITE™ footbed.",
7126145073286,Cambridge,$80.00,"The Black/Camo Suede Cambridge consists of mixed materials including suede, mesh, and perforated synthetic leather, giving the shoe a modern look without forfeiting its vintage vibe. This mix of contemporary and classic keeps the shoe from being pigeonholed to a specific look, catching the eye of minimalist and tech skaters alike. The Cambridge has been paired with a PARA-MOUNT™ outsole, our most advanced vulcanized outsole to date, and finished with a DELUX-LITE™ footbed.",
7126145335430,Cambridge,$80.00,"The Blue/Gum Suede Cambridge consists of mixed materials including suede, mesh, and perforated synthetic leather, giving the shoe a modern look without forfeiting its vintage vibe. This mix of contemporary and classic keeps the shoe from being pigeonholed to a specific look, catching the eye of minimalist and tech skaters alike. The Cambridge has been paired with a PARA-MOUNT™ outsole, our most advanced vulcanized outsole to date, and finished with a DELUX-LITE™ footbed.",
7227803959430,Cambridge,$80.00,"The White Leather Cambridge consists of mixed materials including suede, mesh, and perforated synthetic leather, giving the shoe a modern look without forfeiting its vintage vibe. This mix of contemporary and classic keeps the shoe from being pigeonholed to a specific look, catching the eye of minimalist and tech skaters alike. The Cambridge has been paired with a PARA-MOUNT™ outsole, our most advanced vulcanized outsole to date, and finished with a DELUX-LITE™ footbed.",
6986508107910,Cambridge,$80.00,"The Cream Suede Cambridge consists of mixed materials including suede, mesh, and perforated synthetic leather, giving the shoe a modern look without forfeiting its vintage vibe. This mix of contemporary and classic keeps the shoe from being pigeonholed to a specific look, catching the eye of minimalist and tech skaters alike. The Cambridge has been paired with a PARA-MOUNT™ outsole, our most advanced vulcanized outsole to date, and finished with a DELUX-LITE™ footbed.",
6911089311878,Cambridge,$80.00,"The White/Burgundy Leather Cambridge consists of mixed materials including suede, mesh, and perforated synthetic leather, giving the shoe a modern look without forfeiting its vintage vibe. This mix of contemporary and classic keeps the shoe from being pigeonholed to a specific look, catching the eye of minimalist and tech skaters alike. The Cambridge has been paired with a PARA-MOUNT™ outsole, our most advanced vulcanized outsole to date, and finished with a DELUX-LITE™ footbed.",
